,brand,model,product_name,rating,shipping,url
0,MSI,GTX 1060,MSI GeForce GTX 1060 DirectX 12 GTX 1060 GAMING X 6G 6GB 192-Bit GDDR5 PCI Express 3.0 x16 HDCP Ready ATX Video Card,5,Free Shipping,https://www.newegg.com/msi-geforce-gtx-1060-gtx-1060-gaming-x-6g/p/N82E16814127963?Description=GTX
1,ASUS,GTX 1060,ASUS Dual GeForce GTX 1060 DirectX 12 DUAL-GTX1060-O3G 3GB 192-Bit GDDR5 PCI Express 3.0 HDCP Ready Video Card,4,Free Shipping,https://www.newegg.com/asus-geforce-gtx-1060-dual-gtx1060-o3g/p/N82E16814126133?Description=GTX
2,EVGA,GTX 1060,"EVGA GeForce GTX 1060 6GB SSC GAMING ACX 3.0, 6GB GDDR5, LED, DX12 OSD Support (PXOC), 06G-P4-6267-KR",5,Free Shipping,https://www.newegg.com/evga-geforce-gtx-1060-06g-p4-6267-kr/p/N82E16814487275?Description=GTX
3,EVGA,GTX 1060,"EVGA GeForce GTX 1060 3GB SSC GAMING ACX 3.0, 03G-P4-6167-KR, 3GB GDDR5, LED, DX12 OSD Support (PXOC)",4,Free Shipping,https://www.newegg.com/evga-geforce-gtx-1060-03g-p4-6167-kr/p/N82E16814487284?Description=GTX
4,EVGA,GTX 1060,EVGA - NVIDIA GeForce GTX 1060 6144MB GDDR5 PCI Express 3.0 Graphics Card - Black (06G-P4-6264-KB),5,Free Shipping,https://www.newegg.com/evga-06g-p4-6264-kb/p/1FT-001K-00268?Description=GTX
5,EVGA,GTX 1060,"EVGA GeForce GTX 1060 GAMING, ACX 2.0 (Single Fan), 03G-P4-6160-KR, 3GB GDDR5, DX12 OSD Support (PXOC), Only 6.8 Inches",4,Free Shipping,https://www.newegg.com/evga-geforce-gtx-1060-03g-p4-6160-kr/p/N82E16814487263?Description=GTX
6,ASUS,GTX 1060,ASUS GeForce GTX 1060 DUAL-GTX1060-O6G 6GB 192-Bit GDDR5 PCI Express 3.0 HDCP Ready Video Card,4,Free Shipping,https://www.newegg.com/asus-geforce-gtx-1060-dual-gtx1060-o6g/p/N82E16814126122?Description=GTX
7,GIGABYTE,GTX 1060,GIGABYTE GeForce GTX 1060 DirectX 12 GV-N1060WF2OC-3GD 3GB 192-Bit GDDR5 PCI Express 3.0 x16 ATX Video Card,4,Free Shipping,https://www.newegg.com/gigabyte-geforce-gtx-1060-gv-n1060wf2oc-3gd/p/N82E16814125906?Description=GTX
8,EVGA,GTX 1060,"EVGA GeForce GTX 1060 GAMING, ACX 2.0 (Single Fan), 06G-P4-6161-KR, 6GB GDDR5, DX12 OSD Support (PXOC), Only 6.8 Inches",4,Free Shipping,https://www.newegg.com/evga-geforce-gtx-1060-06g-p4-6161-kr/p/N82E16814487260?Description=GTX
9,EVGA,GTX 1060,"EVGA GeForce GTX 1060 SC GAMING, ACX 2.0 (Single Fan), 03G-P4-6162-KR, 3GB GDDR5, DX12 OSD Support (PXOC)",5,Free Shipping,https://www.newegg.com/evga-geforce-gtx-1060-03g-p4-6162-kr/p/N82E16814487267?Description=GTX
